                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0471,                0.76383,                 1.4512,                0.55731,                 0.5122,                0.50731,                0.20233,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.0216,                0.74974,                 1.4489,                0.56155,                0.52236,                  0.518,                0.21133,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                  1.031,                0.76488,                 1.4499,                0.58625,                0.53862,                0.54495,                0.21878,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.0168,                0.73914,                 1.4344,                0.60367,                 0.5201,                0.53204,                0.20874,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.0072,                0.72807,                 1.4154,                0.61372,                  0.507,                0.54096,                0.21698,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.0016,                0.74042,                 1.4234,                0.60248,                0.49593,                0.52673,                0.20609,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.99127,                 0.7348,                 1.4154,                0.58697,                0.55081,                 0.5545,                0.21736,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.98429,                0.72351,                 1.4066,                0.59954,                0.51626,                0.54125,                0.21531,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.96766,                0.71041,                 1.3948,                0.54051,                 0.5499,                 0.5256,                0.21228,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.93661,                0.60197,                 1.3956,                0.59276,                0.53253,                0.53176,                0.21353,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.89796,                0.55878,                 1.3596,                0.57415,                0.51829,                0.52298,                0.21368,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.87512,                0.56022,                  1.346,                0.58282,                0.56301,                0.56732,                0.22782,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.85084,                0.54403,                 1.3258,                0.57555,                0.53049,                0.53715,                0.21482,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.84575,                 0.5328,                 1.3184,                0.56213,                0.54268,                0.54237,                0.21818,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.82136,                0.52444,                  1.292,                0.60322,                0.52033,                0.54213,                 0.2185,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.81134,                  0.513,                 1.2862,                0.62371,                0.53252,                0.55199,                0.22147,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.81391,                0.52009,                 1.2895,                0.56744,                0.56258,                0.53635,                0.21774,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.80535,                0.51261,                 1.2923,                0.61626,                0.49613,                 0.5353,                 0.2161,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.77958,                 0.4937,                 1.2611,                0.62532,                0.53455,                0.55128,                0.22471,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
